,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67442,alomasa02,1990,1,CLE,AL,132,445,60,129,26,2,9,66.0,4.0,1.0,25,46.0,2.0,2.0,5.0,6.0,10.0
67446,anderbr01,1990,1,BAL,AL,89,234,24,54,5,2,3,24.0,15.0,2.0,31,46.0,2.0,5.0,4.0,5.0,4.0
67448,anderke01,1990,1,CAL,AL,49,143,16,44,6,1,1,5.0,0.0,2.0,13,19.0,1.0,1.0,4.0,0.0,4.0
67460,azocaos01,1990,1,NYA,AL,65,214,18,53,8,0,5,19.0,7.0,0.0,2,15.0,0.0,1.0,0.0,1.0,1.0
67462,baergca01,1990,1,CLE,AL,108,312,46,81,17,2,7,47.0,0.0,2.0,16,57.0,2.0,4.0,1.0,5.0,4.0
67466,baineha01,1990,1,TEX,AL,103,321,41,93,10,1,13,44.0,0.0,1.0,47,63.0,9.0,0.0,0.0,3.0,13.0
67470,balbost01,1990,1,NYA,AL,116,266,24,51,6,0,17,34.0,0.0,0.0,35,91.0,2.0,3.0,1.0,2.0,4.0
67475,barfije01,1990,1,NYA,AL,153,476,69,117,21,2,25,78.0,4.0,3.0,82,150.0,4.0,5.0,2.0,5.0,6.0
67478,barrema02,1990,1,BOS,AL,62,159,15,36,4,0,0,13.0,4.0,0.0,15,13.0,1.0,1.0,11.0,2.0,4.0
67490,bellge02,1990,1,TOR,AL,142,562,67,149,25,0,21,86.0,3.0,2.0,32,80.0,7.0,3.0,0.0,11.0,14.0
67499,bergmda01,1990,1,DET,AL,100,205,21,57,10,1,2,26.0,3.0,2.0,33,17.0,3.0,0.0,1.0,2.0,7.0
67503,bicheda01,1990,1,CAL,AL,109,349,40,89,15,1,15,53.0,5.0,2.0,16,79.0,1.0,3.0,1.0,2.0,9.0
67514,blankla02,1990,1,OAK,AL,86,136,18,26,3,0,0,10.0,3.0,1.0,20,23.0,0.0,0.0,6.0,0.0,6.0
67516,blowemi01,1990,1,NYA,AL,48,144,16,27,4,0,5,21.0,1.0,0.0,12,50.0,1.0,1.0,0.0,0.0,3.0
67521,boggswa01,1990,1,BOS,AL,155,619,89,187,44,5,6,63.0,0.0,0.0,87,68.0,19.0,1.0,0.0,6.0,14.0
67528,boonebo01,1990,1,KCA,AL,40,117,11,28,3,0,0,9.0,1.0,1.0,17,12.0,0.0,0.0,2.0,0.0,2.0
67530,bordepa01,1990,1,TOR,AL,125,346,36,99,24,2,15,49.0,0.0,1.0,18,57.0,2.0,0.0,1.0,3.0,17.0
67538,bradlph01,1990,1,BAL,AL,72,289,39,78,9,1,4,26.0,10.0,4.0,30,35.0,2.0,7.0,6.0,1.0,9.0
67539,bradlph01,1990,2,CHA,AL,45,133,20,30,5,1,0,5.0,7.0,3.0,20,26.0,3.0,4.0,5.0,0.0,2.0
67540,bradlsc01,1990,1,SEA,AL,101,233,11,52,9,0,1,28.0,0.0,1.0,15,20.0,2.0,0.0,3.0,6.0,6.0
67541,bragggl01,1990,1,ML4,AL,37,113,17,28,5,0,3,13.0,5.0,3.0,12,21.0,2.0,3.0,0.0,3.0,1.0
67545,brettge01,1990,1,KCA,AL,142,544,82,179,45,7,14,87.0,9.0,2.0,56,63.0,14.0,0.0,0.0,7.0,18.0
67547,brilegr01,1990,1,SEA,AL,125,337,40,83,18,2,5,29.0,16.0,4.0,37,48.0,0.0,1.0,1.0,4.0,6.0
67548,brockgr01,1990,1,ML4,AL,123,367,42,91,23,0,7,50.0,4.0,2.0,43,45.0,9.0,2.0,2.0,8.0,6.0
67550,brookto01,1990,1,CLE,AL,64,154,18,41,7,2,1,20.0,0.0,0.0,14,25.0,1.0,0.0,1.0,3.0,3.0
67551,brownje01,1990,1,CLE,AL,140,513,92,137,26,5,6,50.0,12.0,7.0,72,46.0,1.0,2.0,12.0,11.0,12.0
67558,brumlmi02,1990,1,SEA,AL,62,147,19,33,5,4,0,7.0,2.0,0.0,10,22.0,0.0,0.0,4.0,1.0,5.0
