,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
98429,abreubo01,2014,1,NYN,NL,78,133,12,33,9,0,1,14.0,1.0,0.0,20,21.0,0.0,0.0,0.0,2.0,3.0
98430,abreujo02,2014,1,CHA,AL,145,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0
98434,ackledu01,2014,1,SEA,AL,143,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0
98438,adamsma01,2014,1,SLN,NL,142,527,55,152,34,5,15,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0
98441,adducji02,2014,1,TEX,AL,44,101,13,17,3,0,1,8.0,3.0,1.0,10,27.0,0.0,0.0,1.0,2.0,2.0
98448,alcanar01,2014,1,CHN,NL,70,278,31,57,11,2,10,29.0,8.0,5.0,17,93.0,0.0,2.0,1.0,2.0,3.0
98450,almonab01,2014,1,SEA,AL,27,106,10,21,5,1,1,8.0,3.0,1.0,6,40.0,0.0,1.0,0.0,0.0,1.0
98453,alonsyo01,2014,1,SDN,NL,84,267,27,64,19,1,7,27.0,6.0,1.0,17,36.0,1.0,1.0,0.0,3.0,8.0
98455,altuvjo01,2014,1,HOU,AL,158,660,85,225,47,3,7,59.0,56.0,9.0,36,53.0,7.0,5.0,1.0,5.0,20.0
98459,alvarpe01,2014,1,PIT,NL,122,398,46,92,13,1,18,56.0,8.0,3.0,45,113.0,6.0,2.0,0.0,0.0,12.0
98461,amarial01,2014,1,SDN,NL,148,423,39,101,13,2,5,40.0,12.0,1.0,29,69.0,5.0,1.0,8.0,5.0,6.0
98466,andruel01,2014,1,TEX,AL,157,619,72,163,35,1,2,41.0,27.0,15.0,46,96.0,0.0,3.0,9.0,7.0,21.0
98468,aokino01,2014,1,KCA,AL,132,491,63,140,22,6,1,43.0,17.0,8.0,43,49.0,0.0,6.0,8.0,1.0,5.0
98470,arciaos01,2014,1,MIN,AL,103,372,46,86,16,3,20,57.0,1.0,2.0,31,127.0,4.0,6.0,0.0,1.0,6.0
98471,arenano01,2014,1,COL,NL,111,432,58,124,34,2,18,61.0,2.0,1.0,25,58.0,1.0,4.0,1.0,5.0,13.0
98472,arencjp01,2014,1,TEX,AL,63,203,20,36,9,0,10,35.0,0.0,0.0,10,62.0,0.0,7.0,0.0,2.0,6.0
98473,ariasjo01,2014,1,SFN,NL,107,193,18,49,9,0,0,15.0,1.0,0.0,8,23.0,2.0,0.0,1.0,2.0,1.0
98477,ascheco01,2014,1,PHI,NL,121,397,43,100,25,0,10,46.0,0.0,1.0,33,102.0,4.0,0.0,3.0,1.0,6.0
98480,avilaal01,2014,1,DET,AL,124,390,44,85,22,0,11,47.0,0.0,3.0,61,151.0,1.0,3.0,1.0,2.0,6.0
98482,avilemi01,2014,1,CLE,AL,113,344,38,85,16,1,5,39.0,14.0,5.0,13,49.0,0.0,1.0,11.0,5.0,10.0
98486,aybarer01,2014,1,LAA,AL,156,589,77,164,30,4,7,68.0,16.0,9.0,36,62.0,4.0,5.0,3.0,8.0,10.0
98488,baezja01,2014,1,CHN,NL,52,213,25,36,6,0,9,20.0,5.0,1.0,15,95.0,0.0,1.0,0.0,0.0,5.0
98491,bakerje03,2014,1,MIA,NL,90,208,27,55,10,4,3,28.0,1.0,0.0,13,51.0,1.0,1.0,0.0,3.0,8.0
