,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67429,abnersh01,1990,1,SDN,NL,91,184,17,45,9,0,1,15.0,2.0,3.0,9,28.0,1.0,2.0,2.0,1.0,3.0
67436,aldremi01,1990,1,MON,NL,96,161,22,39,7,1,1,18.0,1.0,2.0,37,31.0,2.0,1.0,0.0,1.0,2.0
67441,alomaro01,1990,1,SDN,NL,147,586,80,168,27,5,6,60.0,24.0,7.0,48,72.0,1.0,2.0,5.0,5.0,16.0
67447,anderda02,1990,1,SFN,NL,60,100,14,35,5,1,1,6.0,1.0,2.0,3,20.0,0.0,0.0,1.0,0.0,2.0
67452,anthoer01,1990,1,HOU,NL,84,239,26,46,8,0,10,29.0,5.0,0.0,29,78.0,3.0,2.0,1.0,6.0,4.0
67461,backmwa01,1990,1,PIT,NL,104,315,62,92,21,3,2,28.0,6.0,3.0,42,53.0,1.0,1.0,0.0,3.0,5.0
67479,basske01,1990,1,SFN,NL,61,214,25,54,9,1,7,32.0,2.0,2.0,14,26.0,3.0,2.0,2.0,1.0,5.0
67492,bellja01,1990,1,PIT,NL,159,583,93,148,28,7,7,52.0,10.0,6.0,65,109.0,0.0,3.0,39.0,6.0,14.0
67497,benzito01,1990,1,CIN,NL,118,376,35,95,14,2,5,46.0,3.0,4.0,19,69.0,4.0,4.0,2.0,7.0,3.0
67505,biggicr01,1990,1,HOU,NL,150,555,53,153,24,2,4,42.0,25.0,11.0,53,79.0,1.0,3.0,9.0,1.0,11.0
67515,blausje01,1990,1,ATL,NL,115,386,46,104,24,3,8,39.0,3.0,5.0,35,70.0,1.0,5.0,3.0,0.0,4.0
67524,bondsba01,1990,1,PIT,NL,151,519,104,156,32,3,33,114.0,52.0,13.0,93,83.0,15.0,3.0,0.0,6.0,8.0
67525,bonilbo01,1990,1,PIT,NL,160,625,112,175,39,7,32,120.0,4.0,3.0,45,103.0,9.0,1.0,0.0,15.0,11.0
67527,bookero01,1990,1,PHI,NL,73,131,19,29,5,2,0,10.0,3.0,1.0,15,26.0,7.0,0.0,2.0,0.0,7.0
67536,bostoda01,1990,2,NYN,NL,115,366,65,100,21,2,12,45.0,18.0,7.0,28,50.0,2.0,2.0,0.0,0.0,7.0
67542,bragggl01,1990,2,CIN,NL,72,201,22,60,9,1,6,28.0,3.0,4.0,26,43.0,1.0,3.0,0.0,1.0,3.0
67544,breamsi01,1990,1,PIT,NL,147,389,39,105,23,2,15,67.0,8.0,4.0,48,65.0,5.0,2.0,4.0,5.0,6.0
67549,brookhu01,1990,1,LAN,NL,153,568,74,151,28,1,20,91.0,2.0,5.0,33,108.0,10.0,6.0,0.0,11.0,13.0
67571,butlebr01,1990,1,SFN,NL,160,622,108,192,20,9,3,44.0,51.0,19.0,90,62.0,1.0,6.0,7.0,7.0,3.0
67572,cabrefr01,1990,1,ATL,NL,63,137,14,38,5,1,7,25.0,1.0,0.0,5,21.0,0.0,0.0,0.0,1.0,4.0
67577,caminke01,1990,1,HOU,NL,153,541,52,131,20,2,4,51.0,9.0,4.0,48,97.0,7.0,0.0,3.0,4.0,15.0
67581,candaca01,1990,1,HOU,NL,130,262,30,75,8,6,3,22.0,7.0,5.0,31,42.0,5.0,1.0,4.0,0.0,4.0
67592,carrema01,1990,1,NYN,NL,82,188,30,47,12,0,10,26.0,1.0,0.0,15,29.0,0.0,2.0,0.0,0.0,1.0
67593,cartega01,1990,1,SFN,NL,92,244,24,62,10,0,9,27.0,1.0,1.0,25,31.0,3.0,1.0,0.0,2.0,2.0
67594,cartejo01,1990,1,SDN,NL,162,634,79,147,27,1,24,115.0,22.0,6.0,48,93.0,18.0,7.0,0.0,8.0,12.0
67609,clarkda05,1990,1,CHN,NL,84,171,22,47,4,2,5,20.0,7.0,1.0,8,40.0,1.0,0.0,0.0,2.0,4.0
67610,clarkja01,1990,1,SDN,NL,115,334,59,89,12,1,25,62.0,4.0,3.0,104,91.0,11.0,2.0,0.0,2.0,12.0
67611,clarkje01,1990,1,SDN,NL,53,101,12,27,4,1,5,11.0,0.0,0.0,5,24.0,0.0,0.0,0.0,1.0,3.0
67614,clarkwi02,1990,1,SFN,NL,154,600,91,177,25,5,19,95.0,8.0,2.0,62,97.0,9.0,3.0,0.0,13.0,7.0
67624,colemvi01,1990,1,SLN,NL,124,497,73,145,18,9,6,39.0,77.0,17.0,35,88.0,1.0,2.0,4.0,1.0,6.0
67636,corajo01,1990,1,SDN,NL,51,100,12,27,3,0,0,2.0,8.0,3.0,6,9.0,1.0,0.0,0.0,0.0,1.0
67646,danieka01,1990,1,LAN,NL,130,450,81,133,23,1,27,94.0,4.0,3.0,68,104.0,1.0,3.0,2.0,3.0,9.0
