,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67429,abnersh01,1990,1,SDN,NL,91,184,17,45,9,0,1,15.0,2.0,3.0,9,28.0,1.0,2.0,2.0,1.0,3.0
67436,aldremi01,1990,1,MON,NL,96,161,22,39,7,1,1,18.0,1.0,2.0,37,31.0,2.0,1.0,0.0,1.0,2.0
67441,alomaro01,1990,1,SDN,NL,147,586,80,168,27,5,6,60.0,24.0,7.0,48,72.0,1.0,2.0,5.0,5.0,16.0
67442,alomasa02,1990,1,CLE,AL,132,445,60,129,26,2,9,66.0,4.0,1.0,25,46.0,2.0,2.0,5.0,6.0,10.0
67446,anderbr01,1990,1,BAL,AL,89,234,24,54,5,2,3,24.0,15.0,2.0,31,46.0,2.0,5.0,4.0,5.0,4.0
67447,anderda02,1990,1,SFN,NL,60,100,14,35,5,1,1,6.0,1.0,2.0,3,20.0,0.0,0.0,1.0,0.0,2.0
67448,anderke01,1990,1,CAL,AL,49,143,16,44,6,1,1,5.0,0.0,2.0,13,19.0,1.0,1.0,4.0,0.0,4.0
67452,anthoer01,1990,1,HOU,NL,84,239,26,46,8,0,10,29.0,5.0,0.0,29,78.0,3.0,2.0,1.0,6.0,4.0
67460,azocaos01,1990,1,NYA,AL,65,214,18,53,8,0,5,19.0,7.0,0.0,2,15.0,0.0,1.0,0.0,1.0,1.0
67461,backmwa01,1990,1,PIT,NL,104,315,62,92,21,3,2,28.0,6.0,3.0,42,53.0,1.0,1.0,0.0,3.0,5.0
67462,baergca01,1990,1,CLE,AL,108,312,46,81,17,2,7,47.0,0.0,2.0,16,57.0,2.0,4.0,1.0,5.0,4.0
67466,baineha01,1990,1,TEX,AL,103,321,41,93,10,1,13,44.0,0.0,1.0,47,63.0,9.0,0.0,0.0,3.0,13.0
67470,balbost01,1990,1,NYA,AL,116,266,24,51,6,0,17,34.0,0.0,0.0,35,91.0,2.0,3.0,1.0,2.0,4.0
67475,barfije01,1990,1,NYA,AL,153,476,69,117,21,2,25,78.0,4.0,3.0,82,150.0,4.0,5.0,2.0,5.0,6.0
67478,barrema02,1990,1,BOS,AL,62,159,15,36,4,0,0,13.0,4.0,0.0,15,13.0,1.0,1.0,11.0,2.0,4.0
67479,basske01,1990,1,SFN,NL,61,214,25,54,9,1,7,32.0,2.0,2.0,14,26.0,3.0,2.0,2.0,1.0,5.0
67490,bellge02,1990,1,TOR,AL,142,562,67,149,25,0,21,86.0,3.0,2.0,32,80.0,7.0,3.0,0.0,11.0,14.0
67492,bellja01,1990,1,PIT,NL,159,583,93,148,28,7,7,52.0,10.0,6.0,65,109.0,0.0,3.0,39.0,6.0,14.0
67497,benzito01,1990,1,CIN,NL,118,376,35,95,14,2,5,46.0,3.0,4.0,19,69.0,4.0,4.0,2.0,7.0,3.0
67499,bergmda01,1990,1,DET,AL,100,205,21,57,10,1,2,26.0,3.0,2.0,33,17.0,3.0,0.0,1.0,2.0,7.0
67503,bicheda01,1990,1,CAL,AL,109,349,40,89,15,1,15,53.0,5.0,2.0,16,79.0,1.0,3.0,1.0,2.0,9.0
67505,biggicr01,1990,1,HOU,NL,150,555,53,153,24,2,4,42.0,25.0,11.0,53,79.0,1.0,3.0,9.0,1.0,11.0
67514,blankla02,1990,1,OAK,AL,86,136,18,26,3,0,0,10.0,3.0,1.0,20,23.0,0.0,0.0,6.0,0.0,6.0
67515,blausje01,1990,1,ATL,NL,115,386,46,104,24,3,8,39.0,3.0,5.0,35,70.0,1.0,5.0,3.0,0.0,4.0
67516,blowemi01,1990,1,NYA,AL,48,144,16,27,4,0,5,21.0,1.0,0.0,12,50.0,1.0,1.0,0.0,0.0,3.0
67521,boggswa01,1990,1,BOS,AL,155,619,89,187,44,5,6,63.0,0.0,0.0,87,68.0,19.0,1.0,0.0,6.0,14.0
67524,bondsba01,1990,1,PIT,NL,151,519,104,156,32,3,33,114.0,52.0,13.0,93,83.0,15.0,3.0,0.0,6.0,8.0
67525,bonilbo01,1990,1,PIT,NL,160,625,112,175,39,7,32,120.0,4.0,3.0,45,103.0,9.0,1.0,0.0,15.0,11.0
67527,bookero01,1990,1,PHI,NL,73,131,19,29,5,2,0,10.0,3.0,1.0,15,26.0,7.0,0.0,2.0,0.0,7.0
67528,boonebo01,1990,1,KCA,AL,40,117,11,28,3,0,0,9.0,1.0,1.0,17,12.0,0.0,0.0,2.0,0.0,2.0
67530,bordepa01,1990,1,TOR,AL,125,346,36,99,24,2,15,49.0,0.0,1.0,18,57.0,2.0,0.0,1.0,3.0,17.0
67536,bostoda01,1990,2,NYN,NL,115,366,65,100,21,2,12,45.0,18.0,7.0,28,50.0,2.0,2.0,0.0,0.0,7.0
